source_center,destination_center,route_type,median_delay_ratio,sla_breach_rate,trip_count,median_distance,median_actual_time,median_osrm_time
IND600056AAB,IND600032AAB,Carting,1.7638888888888888,0.8611111111111112,144,10.42585,14.0,9.0
IND600056AAB,IND562132AAA,FTL,1.4,0.7482517482517482,143,25.0869,32.0,23.0
IND413002AAA,IND421302AAG,FTL,1.6,0.8321678321678322,143,26.1777,32.0,19.0
IND501359AAE,IND523002AAA,FTL,1.5,0.7552447552447552,143,28.111,34.0,22.0
IND395023AAA,IND382430AAB,FTL,1.5333333333333334,0.8936170212765957,141,25.3062,30.0,19.0
IND788026AAC,IND781018AAB,FTL,2.375,1.0,141,39.2105,64.0,27.0
IND523002AAA,IND600056AAB,FTL,1.6666666666666667,0.8865248226950354,141,25.152099999999997,29.0,17.0
IND110037AAK,IND000000ACB,Carting,1.6923076923076923,0.8936170212765957,141,10.1193,17.0,9.0
IND000000ACT,IND160002AAC,FTL,1.7387596899224806,0.95,140,24.070050000000002,30.0,18.0
IND712311AAA,IND834002AAB,FTL,1.5555555555555556,0.7928571428571428,140,31.11415,36.0,21.5
IND110044AAB,IND131028AAB,Carting,1.6181818181818182,0.7642857142857142,140,10.5686,16.0,11.0
IND834002AAB,IND827013AAA,Carting,2.7083333333333335,0.8129496402877698,139,11.8076,25.0,11.0
IND518002AAA,IND562132AAA,FTL,1.3900966183574879,0.7536231884057971,138,25.177999999999997,28.0,19.0
IND457226AAA,IND382430AAB,FTL,1.588235294117647,0.8985507246376812,138,29.05855,35.5,21.0
IND306401AAB,IND302014AAA,FTL,1.6485294117647058,0.9057971014492754,138,24.385550000000002,29.0,17.0
IND382430AAB,IND370201AAA,FTL,1.2727272727272727,0.6058394160583942,137,28.5571,38.0,25.0
IND533106AAA,IND501359AAE,FTL,2.1176470588235294,1.0,136,24.8574,35.0,17.0
IND501359AAE,IND413002AAA,FTL,1.9131944444444444,0.8897058823529411,136,23.9247,38.0,16.0
IND000000ACT,IND131028AAB,Carting,1.526610644257703,0.6838235294117647,136,10.97975,19.0,13.0
IND413002AAA,IND501359AAE,FTL,1.95,0.8161764705882353,136,26.17535,34.0,18.0
IND000000ACB,IND121004AAB,Carting,1.6666666666666667,0.8888888888888888,135,11.2424,18.0,11.0
IND472001AAA,IND485001AAC,FTL,2.2222222222222223,0.9851851851851852,135,23.588,40.0,18.0
IND842001AAA,IND854326AAB,FTL,1.5683229813664596,0.9696969696969697,132,26.393949999999997,30.5,18.0
IND121004AAB,IND121102AAA,Carting,1.8571428571428572,0.8712121212121212,132,9.60775,11.0,6.0
IND431136AAC,IND411033AAA,FTL,1.719607843137255,0.9769230769230769,130,25.373649999999998,26.0,17.0
IND683511AAA,IND562132AAA,FTL,1.3559907834101383,0.65625,128,30.940150000000003,40.0,30.0
IND121002AAB,IND000000ACB,Carting,1.6666666666666667,0.8503937007874016,127,12.3122,20.0,12.0
IND501359AAE,IND515004AAA,FTL,1.5147058823529411,0.8492063492063492,126,24.966900000000003,26.0,17.0
IND209304AAA,IND211002AAB,FTL,1.339080459770115,0.5634920634920635,126,25.223599999999998,24.0,18.0
IND000000ACB,IND302022AAD,FTL,1.5294117647058822,0.832,125,24.9241,32.0,20.0
IND000000ACB,IND110085AAB,Carting,1.4833333333333334,0.7338709677419355,124,10.73025,14.0,10.0
IND122004AAA,IND122413AAE,Carting,1.625,0.8943089430894309,123,9.9143,14.0,9.0
IND160002AAC,IND143001AAA,FTL,1.85,0.9338842975206612,121,23.2762,30.0,16.0
IND411033AAA,IND416012AAA,FTL,1.4761904761904763,0.8347107438016529,121,25.2613,32.0,22.0
IND411033AAA,IND431136AAC,FTL,2.0,0.9833333333333333,120,24.4635,34.0,17.0
IND121004AAB,IND000000ACB,Carting,1.6833333333333333,0.975,120,12.067699999999999,20.0,12.0
IND421302AAG,IND400015AAA,Carting,2.1818181818181817,0.9663865546218487,119,10.3823,15.0,7.0
IND712311AAA,IND781018AAB,FTL,2.44,1.0,119,33.054,63.0,23.0
IND673592AAA,IND562132AAA,FTL,1.7567567567567568,0.773109243697479,119,27.6982,43.0,29.0
IND302014AAA,IND313001AAB,FTL,1.707142857142857,0.9830508474576272,118,26.37075,32.0,18.0
IND562132AAA,IND600056AAB,FTL,1.3333333333333333,0.6752136752136753,117,27.3437,33.0,24.0
IND413401AAA,IND411033AAA,FTL,1.6666666666666667,0.8888888888888888,117,25.8302,28.0,18.0
IND110037AAM,IND202001AAB,FTL,1.52,0.8448275862068966,116,24.5556,38.0,21.0
IND614620AAA,IND630561AAA,Carting,1.8333333333333333,0.9913793103448276,116,10.03185,12.0,7.0
IND302014AAA,IND000000ACB,FTL,1.5625,0.8434782608695652,115,25.519,30.0,21.0
IND600056AAB,IND501359AAE,FTL,1.7142857142857142,0.9217391304347826,115,25.594,31.0,18.0
IND151001AAA,IND160002AAC,FTL,1.391304347826087,0.7256637168141593,113,24.538,28.0,21.0
IND421302AAG,IND413002AAA,FTL,1.6774193548387097,0.8761061946902655,113,25.7825,33.0,18.0
IND562132AAA,IND573201AAB,FTL,1.5,0.7857142857142857,112,24.24635,28.0,18.0
IND382430AAB,IND313001AAB,FTL,1.875,0.972972972972973,111,26.7783,36.0,19.0
IND501359AAE,IND585104AAA,FTL,1.6111111111111112,0.7747747747747747,111,26.6498,33.0,18.0
IND263153AAB,IND131028AAB,FTL,1.6978260869565216,0.8909090909090909,110,27.212899999999998,37.5,22.0
IND606201AAC,IND605601AAA,Carting,1.6458333333333335,0.6727272727272727,110,13.492899999999999,16.0,9.5
IND501359AAE,IND712311AAA,FTL,1.7633053221288515,0.9545454545454546,110,25.990949999999998,31.0,18.0
IND423701AAB,IND422011AAD,Carting,1.7142857142857142,0.8636363636363636,110,10.7493,14.0,9.0
IND400072AAB,IND421302AAG,Carting,2.6666666666666665,1.0,109,11.2764,19.0,8.0
IND000000ACB,IND110030AAD,Carting,1.577777777777778,0.7222222222222222,108,10.3995,12.0,9.0
IND441912AAA,IND441107AAB,Carting,2.25,0.9813084112149533,107,10.6199,17.0,8.0
IND560099AAB,IND560058AAB,Carting,1.275252525252525,0.5754716981132075,106,11.109200000000001,15.0,12.0
IND160002AAC,IND000000ACA,FTL,1.8666666666666667,0.7641509433962265,106,22.518900000000002,30.0,15.0
IND000000ACB,IND110037AAK,Carting,1.5,0.7924528301886793,106,10.20955,15.0,9.0
IND390022AAA,IND395023AAA,FTL,1.6470588235294117,0.9619047619047619,105,25.0379,28.0,17.0
IND110037AAM,IND121004AAB,Carting,2.0,0.9142857142857143,105,10.2228,22.0,10.0
IND500010AAB,IND501359AAE,Carting,2.0,0.9615384615384616,104,12.1869,20.5,10.5
IND131028AAB,IND244001AAA,FTL,1.5590277777777777,0.6153846153846154,104,28.89515,32.0,22.0
IND303303AAA,IND322230AAA,Carting,1.25,0.6057692307692307,104,10.5343,11.0,8.0
IND811399AAA,IND209304AAA,FTL,1.513157894736842,0.8627450980392157,102,25.63505,29.0,19.0
IND600056AAB,IND600008AAC,Carting,2.0,1.0,102,9.688649999999999,14.0,7.0
IND000000ACB,IND000000AEL,Carting,1.7,0.8316831683168316,101,11.2197,19.0,11.0
IND562132AAA,IND583101AAA,FTL,1.474937343358396,0.92,100,25.27315,28.0,18.0
IND577201AAA,IND562132AAA,FTL,1.656862745098039,0.77,100,25.3946,34.0,20.0
IND821115AAB,IND209304AAA,FTL,1.6666666666666667,0.8484848484848485,99,25.439400000000003,30.0,17.0
IND000000ACB,IND125001AAA,FTL,1.6324999999999998,0.9489795918367347,98,23.883,36.0,25.0
IND160002AAC,IND151001AAA,FTL,1.5333333333333334,0.8865979381443299,97,25.016,29.0,20.0
IND600056AAB,IND524003AAA,FTL,1.5294117647058822,0.979381443298969,97,25.2673,29.0,18.0
IND826004AAA,IND209304AAA,FTL,1.5313725490196077,0.78125,96,24.668300000000002,28.0,17.0
IND160002AAC,IND131028AAB,FTL,1.7333333333333334,0.96875,96,22.75345,28.0,16.0
