source_id,destination_id,source,destination,delay_ratio,breach_rate,trip_count,route_type,median_distance
IND811399AAA,IND110044AAB,Noida_Sector02_C (Uttar Pradesh),Del_Okhla_PC (Delhi),1.6923076923076923,0.8367346938775511,49,Carting,11.6214
IND110037AAK,IND000000ACB,Delhi_Kapshera_L (Delhi),Gurgaon_Bilaspur_HB (Haryana),1.6923076923076923,0.8936170212765957,141,Carting,10.1193
IND600110AAA,IND600056AAB,Chennai_Madhavaram_L (Tamil Nadu),MAA_Poonamallee_HB (Tamil Nadu),1.6923076923076923,0.9166666666666666,24,Carting,13.329
IND380006AAA,IND382430AAB,Ahmedabad_Paldi_D (Gujarat),Ahmedabad_East_H_1 (Gujarat),1.6904761904761905,0.9444444444444444,18,Carting,8.200199999999999
IND583227AAA,IND583231AAA,Gangavathi_PhrmPlza_D (Karnataka),Koppal_Banikatt_D (Karnataka),1.6904761904761905,0.92,50,Carting,9.76455
IND521185AAA,IND521225AAB,Nandigama_Chndrlpd_D (Andhra Pradesh),Vijayawada_Rynapadu_H (Andhra Pradesh),1.6904761904761905,0.85,20,Carting,10.996949999999998
IND573201AAB,IND573116AAA,Hassan_Pandrnga_I (Karnataka),Channaraya_patna_D (Karnataka),1.6904761904761905,0.9444444444444444,18,FTL,26.7076
IND563131AAB,IND560300AAA,Bangarapet_KolarRd_D (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),1.6904761904761905,0.7,20,Carting,14.1211
IND474003AAA,IND476001AAA,Gwalior_HrihrNgr_I (Madhya Pradesh),Morena_Prjapati_D (Madhya Pradesh),1.69,1.0,2,FTL,16.74725
IND251001AAA,IND247554AAA,Muzaffrngr_MhmodNgr_D (Uttar Pradesh),Deoband_Ramvlg_D (Uttar Pradesh),1.6897233201581028,1.0,18,FTL,23.106749999999998
IND000000ACB,IND201301AAM,Gurgaon_Bilaspur_HB (Haryana),Noida_Sector63_L (Uttar Pradesh),1.688259109311741,0.8076923076923077,208,Carting,11.9759
IND312001AAA,IND312601AAA,Chittaurgarh_DC (Rajasthan),Nimbahera_MsjidDPP_D (Rajasthan),1.6875,0.75,8,FTL,16.2864
IND585104AAA,IND585314AAA,Gulbarga_Nehrugnj_I (Karnataka),Aland_RazaviRd_D (Karnataka),1.6875,0.75,20,Carting,9.33775
IND127201AAA,IND124141AAA,Loharu_BstndDPP_D (Haryana),ChrkhiDdri_PuranDPP_D (Haryana),1.6875,1.0,5,FTL,24.425099999999997
IND421302AAG,IND422011AAD,Bhiwandi_Mankoli_HB (Maharashtra),Nashik_TgrniaRD_I (Maharashtra),1.6875,0.8928571428571429,84,FTL,25.670650000000002
IND821115AAB,IND000000ACB,Sasaram_Central_I_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana),1.6875,0.8326848249027238,257,FTL,25.5537
IND756045AAB,IND756019AAA,Soro_UttarDPP_D (Orissa),Balasore_Ganeshwr_D (Orissa),1.6875,1.0,1,FTL,23.0528
IND451666AAA,IND421302AAG,Sendhwa_VishnuVhr_D (Madhya Pradesh),Bhiwandi_Mankoli_HB (Maharashtra),1.6875,0.9333333333333333,15,FTL,25.6994
IND486771AAA,IND486661AAA,Churhat_Central_DPP_1 (Madhya Pradesh),Sidhi_Padra_D (Madhya Pradesh),1.6875,1.0,6,FTL,25.976300000000002
IND781018AAB,IND781354AAA,Guwahati_Hub (Assam),Rangia_HosptlRd_D (Assam),1.686231884057971,1.0,16,FTL,32.69555
IND515865AAB,IND515761AAA,Rayadurgam_RailGate_D (Andhra Pradesh),Kalyandurg_Shankrpa_D (Andhra Pradesh),1.6861538461538461,1.0,26,FTL,20.5117
IND562132AAA,IND580028AAA,Bangalore_Nelmngla_H (Karnataka),Hubli_Adargchi_IP (Karnataka),1.6858552631578947,1.0,14,FTL,23.68975
IND506001AAC,IND505467AAA,Warangal_Central_D_2 (Telangana),Husnabad_Greenmkt_D (Telangana),1.6856060606060606,0.9375,16,FTL,21.3431
IND382430AAB,IND389001AAA,Ahmedabad_East_H_1 (Gujarat),Godhra_DC (Gujarat),1.6842105263157894,0.9733333333333334,75,FTL,25.9853
IND712612AAA,IND722154AAA,Kamarpukur_ChatiDPP_D (West Bengal),MirzapurWB_VidyaDPP_D (West Bengal),1.6842105263157894,1.0,1,FTL,19.4711
